V1,V2
3.37095844714667,1.99537923217354
1.4353018286039099,2.7602421676620494
2.36312841133734,2.03899091287256
2.63286260496104,2.73507214161444
2.404268323141,1.85352737300113
1.8938754839085201,1.9421126646187201
3.51152199743894,2.48236946610453
1.9053409615868997,2.9929436367757303
4.0184237138770404,0.753604501967958
1.93728590094758,1.96651247515439
3.3048696542234905,1.92903781875
4.28664539270111,1.2410793462690501
0.611139298887661,0.965640639060847
1.72121123318263,1.36926804602918
1.86667866360634,2.586807720013
2.63595039807007,1.58367734381635
1.71574707858393,1.21511219049468
-0.656455420904776,2.1634163194861
-0.44046692857551895,0.76328576489065
3.32011334573019,3.04587377623667
1.69336140592153,1.51540458378129
0.21869156601999998,2.18912881168067
1.82808264424038,2.05100633157497
3.2146746991726,1.9997593311135602
3.89519346126497,3.80938204244287
1.5695308683938,1.17467204289006
1.7427306172310701,3.14547045222799
0.23683691480521998,2.03157318755324
2.46009735483127,1.16479419469328
1.3600051240398798,1.93123635098349
2.4554501232412203,2.7467716870124703
2.70483733722882,1.5744812656054
3.0351035219699196,1.22791776480654
1.39107362459279,2.15276410674789
2.5049551232979703,2.9885968451787996
0.28299132092665696,1.92654166532783
1.2155409916205,0.612973446440258
1.14909240582348,0.6933240956246371
-0.414207649946632,1.2316046749220602
2.03612260689226,1.4728918746255402
2.20599860020025,1.9785729349583798
1.6389427014513303,2.67049807099628
2.75816323569952,1.56538296142759
1.2732951729234199,0.886120216687153
0.631718955580705,2.6071059948785003
2.43281802588872,2.2754569687395896
1.18860682381333,3.1573470694147403
3.44410126172125,0.31751914052174396
1.56855379738665,2.08731908889487
2.6556478834022097,3.3533618939426697
2.32192526520395,2.7241738006833702
1.2161610591196201,1.1674471742357901
3.57572751979198,2.7325284867684103
2.64289930571732,1.1280731300027902
2.0897606465996104,1.54660248877021
2.27655074729146,3.18753427862908
2.67928881605527,1.70985468820992
2.0898328865790803,2.82854614496544
-0.993090083152935,1.70877229122083
2.2848829535306603,0.423637595252094
1.63276535725902,1.1511843030510802
2.18523056486561,0.911480138042805
2.58182372736551,1.5157094288828301
3.39973682729268,1.6636887909904299
1.27270794052553,1.84664210933836
3.30254263204414,1.75675277142515
2.3358481197520695,3.8922020416001097
3.0385060986976202,0.6140016627145799
2.9207285682906496,1.58517569929222
2.72087816286686,2.3490815281068302
